,error_rf,error_kdf,kappa_rf,kappa_kdf,ece_rf,ece_kdf,fold,sample
0,0.6032,0.6032,0.12501095487575709,0.1102449932365304,0.259976,0.5352330393282011,0,6
1,0.5712,0.6439999999999999,0.1531863384492519,0.06102037672862119,0.23433919999999997,0.56613592274093,0,9
2,0.5504,0.616,0.18036761411533037,0.13456916370995406,0.2231408,0.5358154233350155,0,15
3,0.5359999999999999,0.5416000000000001,0.2209891200449497,0.18786110016549445,0.25301760000000006,0.4297278357182123,0,25
4,0.5264,0.6072000000000001,0.21486332976241007,0.11934603305854771,0.2649456,0.5265450494289002,0,42
5,0.5871999999999999,0.5439999999999999,0.1966891458985331,0.23957380396913946,0.2591536,0.49039127099548346,0,69
6,0.5064,0.5999999999999999,0.22199661195798392,0.092457470074079,0.19592,0.5105560399682529,0,112
7,0.5136000000000001,0.504,0.2458808297905007,0.23577663550343814,0.2363328,0.44841607138636375,0,183
8,0.44880000000000003,0.47040000000000004,0.31667359519735094,0.22078445436515262,0.1949872,0.4069718671199801,0,298
9,0.5184000000000001,0.5631999999999999,0.2600082060340342,0.15196168589308834,0.23067040000000003,0.5027158869497914,0,487
10,0.48640000000000005,0.5032,0.240725295017232,0.20571348316265986,0.18476160000000003,0.4212797329897585,1,6
11,0.5464,0.524,0.2228963407053015,0.26144526355627906,0.2037872,0.41598782856847444,1,9
12,0.46159999999999995,0.344,0.3099748387641551,0.4782045106589764,0.18172,0.24437913889037755,1,15
13,0.5376000000000001,0.5296,0.22268940818634828,0.25459536944595473,0.21501439999999997,0.4249588404652787,1,25
14,0.4184,0.4351999999999999,0.3425668724205784,0.29079872898202097,0.21484799999999998,0.3532710909226782,1,42
15,0.48319999999999996,0.5136000000000001,0.29533669094625115,0.24272274400988506,0.20540319999999998,0.3962642126229915,1,69
16,0.4864,0.46880000000000005,0.28120501662675845,0.33211742849910963,0.1945136,0.3477067308456245,1,112
17,0.44000000000000006,0.37439999999999996,0.3332540228315461,0.44281501676736496,0.1749984,0.2363959978461609,1,183
18,0.3936,0.3496,0.37590065849105636,0.44472425446488445,0.1741776,0.2402053056802272,1,298
19,0.45760000000000006,0.4808,0.29044800752644817,0.2794949174237467,0.21990719999999997,0.38779426789925575,1,487
20,0.5624,0.5128,0.18773516604845303,0.24582267411802833,0.25699039999999995,0.3843096806355901,2,6
21,0.46080000000000004,0.38639999999999997,0.31406571554346013,0.42075233807062495,0.18469280000000005,0.23421622673476222,2,9
22,0.44719999999999993,0.32480000000000003,0.32738736895150805,0.49925490299232295,0.168208,0.1974794063038185,2,15
23,0.4528,0.3672,0.3409397973545328,0.4541389926522772,0.20179360000000002,0.23614493279950874,2,25
24,0.47840000000000005,0.4783999999999999,0.2638271287485108,0.24596631139597927,0.22444319999999998,0.3778357800929945,2,42
25,0.5999999999999999,0.5184,0.18898872301446173,0.26663682335074135,0.2759136,0.3938987112051987,2,69
26,0.47840000000000005,0.3896,0.3028192929368435,0.42240416270603925,0.19751200000000002,0.23626697476883857,2,112
27,0.4104,0.29680000000000006,0.38152476466913826,0.5417090821075738,0.1818288,0.16765559648123793,2,183
28,0.4024,0.2928,0.3807379591069646,0.5381602166990669,0.15457120000000002,0.16286092248052267,2,298
29,0.4928,0.44720000000000004,0.2791008992526347,0.3391282040067773,0.23403040000000003,0.3184294113650216,2,487
30,0.5592,0.5232000000000001,0.19768510721341412,0.2548337916081499,0.2854352,0.3846679320925626,3,6
31,0.5296000000000001,0.3832,0.24595526838364198,0.43789751750324707,0.2248368,0.22557907480289802,3,9
32,0.4112,0.26080000000000003,0.3881881252837134,0.5974963897166924,0.16232320000000003,0.14454634222203128,3,15
33,0.44400000000000006,0.3376,0.364731928050206,0.5026963387428157,0.1891648,0.19680857131242682,3,25
34,0.516,0.476,0.25931636838713146,0.298566665370799,0.236888,0.34663620817230556,3,42
35,0.5640000000000001,0.348,0.20054101848960332,0.41897103121128965,0.29404800000000003,0.254955156379945,3,69
36,0.41200000000000003,0.25360000000000005,0.36045634396766263,0.5783481392037416,0.165416,0.17406862906756224,3,112
37,0.36079999999999995,0.18320000000000003,0.4317282886499988,0.6950724071382052,0.1559536,0.11213606411485803,3,183
38,0.3952,0.20719999999999997,0.39984290411459394,0.6568503876579868,0.17014239999999997,0.13022717310818616,3,298
39,0.4744,0.33119999999999994,0.31043283952731093,0.4281692646813977,0.219736,0.26270337641997327,3,487
40,0.5216,0.3343999999999999,0.21376595166388287,0.41488095363678423,0.3069472,0.25721564181416195,4,6
41,0.37279999999999996,0.1976,0.401119188181737,0.6584762361797923,0.1716928,0.13710605325265907,4,9
42,0.31520000000000004,0.10399999999999998,0.4899148247461139,0.8174596004644454,0.1510128,0.10090179174771703,4,15
43,0.37839999999999996,0.1768,0.4073831704942833,0.6953557315357538,0.1570608,0.10670051253270652,4,25
44,0.47840000000000005,0.3263999999999999,0.2799071085670575,0.41233545918888115,0.23783520000000005,0.270479989714941,4,42
45,0.5216,0.2856000000000001,0.19580789548955208,0.4825094364046927,0.33777920000000006,0.2130025626814946,4,69
46,0.388,0.1776,0.3681652541998772,0.6820800870638417,0.168464,0.12515689502641267,4,112
47,0.28720000000000007,0.08479999999999996,0.519787104525925,0.8471632684961021,0.1485328,0.08634793663917843,4,183
48,0.3696,0.13280000000000003,0.4108863305282249,0.7624604405046324,0.1573792,0.09542928898459131,4,298
49,0.46799999999999997,0.27840000000000004,0.26934466300937976,0.4867700759110072,0.25659360000000003,0.22506286104809387,4,487
